,Unnamed: 0,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,prism:issueIdentifier,prism:isbn,pubmed-id,error
0,0,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85084942046', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85084942046?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084942046&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084942046&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0195925519304123'}",https://api.elsevier.com/content/abstract/scopus_id/85084942046,SCOPUS_ID:85084942046,2-s2.0-85084942046,Energy and carbon footprint assessment of production of hemp hurds for application in buildings,Scrucca F.,Environmental Impact Assessment Review,01959255,84,,2020-09-01,September 2020,10.1016/j.eiar.2020.106417,S0195925519304123,0.0,"[{'@_fa': 'true', 'affilname': ""Ente Per Le Nuove Tecnologie, l'Energia e l'Ambiente"", 'affiliation-city': 'Rome', 'affiliation-country': 'Italy'}]",Journal,ar,Article,106417,21004.0,0,False,,,,,
1,1,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85077443268', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85077443268?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077443268&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077443268&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85077443268,SCOPUS_ID:85077443268,2-s2.0-85077443268,Bio-based materials for the italian construction industry: Buildings as carbon sponges,Carcassi O.B.,Research for Development,21987300,,237-247,2020-01-01,2020,10.1007/978-3-030-33256-3_23,,0.0,"[{'@_fa': 'true', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}]",Book Series,ch,Chapter,,21100894847.0,1,True,21987319,,,,
2,2,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85077469836', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85077469836?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077469836&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077469836&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85077469836,SCOPUS_ID:85077469836,2-s2.0-85077469836,Environmental performance of innovative ground-source heat pumps with PCM energy storage,Bonamente E.,Energies,,13,,2019-12-25,25 December 2019,10.3390/en13010117,,0.0,"[{'@_fa': 'true', 'affilname': 'Università degli Studi di Perugia', 'affiliation-city': 'Perugia', 'affiliation-country': 'Italy'}]",Journal,ar,Article,117,62932.0,1,True,19961073,1,,,
3,3,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85069714320', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85069714320?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069714320&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069714320&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352710219302542'}",https://api.elsevier.com/content/abstract/scopus_id/85069714320,SCOPUS_ID:85069714320,2-s2.0-85069714320,Environmental benefits of using hybrid CLT structure in midrise non-residential construction: An LCA based comparative case study in the U.S. Pacific Northwest,Pierobon F.,Journal of Building Engineering,,26,,2019-11-01,November 2019,10.1016/j.jobe.2019.100862,S2352710219302542,2.0,"[{'@_fa': 'true', 'affilname': 'University of Washington, Seattle', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}]",Journal,ar,Article,100862,21100389518.0,0,False,23527102,,,,
4,4,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85046542127', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85046542127?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046542127&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046542127&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85046542127,SCOPUS_ID:85046542127,2-s2.0-85046542127,Environmental Impact Assessment of Wood Use in Japan through 2050 Using Material Flow Analysis and Life Cycle Assessment,Kayo C.,Journal of Industrial Ecology,10881980,23,635-648,2019-06-01,June 2019,10.1111/jiec.12766,,7.0,"[{'@_fa': 'true', 'affilname': 'Tokyo University of Agriculture and Technology', 'affiliation-city': 'Fuchu', 'affiliation-country': 'Japan'}]",Journal,ar,Article,,23411.0,0,False,15309290,3,,,
5,5,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85020378320', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85020378320?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85020378320&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020378320&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652617311903'}",https://api.elsevier.com/content/abstract/scopus_id/85020378320,SCOPUS_ID:85020378320,2-s2.0-85020378320,Life cycle assessment and life cycle cost of university dormitories in the southeast China: Case study of the university town of Fuzhou,Huang L.,Journal of Cleaner Production,09596526,173,151-159,2018-02-01,1 February 2018,10.1016/j.jclepro.2017.06.021,S0959652617311903,11.0,"[{'@_fa': 'true', 'affilname': 'Norges Teknisk-Naturvitenskapelige Universitet', 'affiliation-city': 'Trondheim', 'affiliation-country': 'Norway'}]",Journal,ar,Article,,19167.0,0,False,,,,,
6,6,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85019192178', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85019192178?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019192178&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019192178&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85019192178,SCOPUS_ID:85019192178,2-s2.0-85019192178,Climate impacts from road bridges: effects of introducing concrete carbonation and biogenic carbon storage in wood,Peñaloza D.,Structure and Infrastructure Engineering,15732479,14,56-67,2018-01-02,2 January 2018,10.1080/15732479.2017.1327545,,3.0,"[{'@_fa': 'true', 'affilname': 'RISE Research Institutes of Sweden AB', 'affiliation-city': 'Gothenburg', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'The Royal Institute of Technology (KTH)', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,,10600153366.0,0,False,17448980,1,,,
7,7,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84982189595', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84982189595?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84982189595&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982189595&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0950061816313046'}",https://api.elsevier.com/content/abstract/scopus_id/84982189595,SCOPUS_ID:84982189595,2-s2.0-84982189595,Exploring the climate impact effects of increased use of bio-based materials in buildings,Peñaloza D.,Construction and Building Materials,09500618,125,219-226,2016-10-30,30 October 2016,10.1016/j.conbuildmat.2016.08.041,S0950061816313046,17.0,"[{'@_fa': 'true', 'affilname': 'RISE, SP Technical Research Institute of Sweden', 'affiliation-city': 'Boras', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'The Royal Institute of Technology (KTH)', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,,24443.0,0,False,,,,,
8,8,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84957838905', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84957838905?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957838905&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84957838905&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84957838905,SCOPUS_ID:84957838905,2-s2.0-84957838905,Study of CO<inf>2</inf> emissions in China’s iron and steel industry based on economic input–output life cycle assessment,Li L.,Natural Hazards,0921030X,81,957-970,2016-03-01,1 March 2016,10.1007/s11069-015-2114-y,,22.0,"[{'@_fa': 'true', 'affilname': 'Ministry of Land and Resources P.R.C.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China University of Geosciences, Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,,23282.0,1,True,15730840,2,,,
9,9,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84962218132', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84962218132?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962218132&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962218132&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652615017485'}",https://api.elsevier.com/content/abstract/scopus_id/84962218132,SCOPUS_ID:84962218132,2-s2.0-84962218132,"Environmental impacts, life cycle assessment and potential improvement measures for cement production: A literature review",Salas D.,Journal of Cleaner Production,09596526,113,114-122,2016-02-01,1 February 2016,10.1016/j.jclepro.2015.11.078,S0959652615017485,56.0,"[{'@_fa': 'true', 'affilname': 'Escuela Superior Politecnica del Litoral Ecuador', 'affiliation-city': 'Guayaquil', 'affiliation-country': 'Ecuador'}]",Journal,re,Review,,19167.0,0,False,,,,,
